pdes,dv,H,a,e,i
2006 RH120,3.813,0.635,0.605,29.5,1.033
2007 UN12,3.823,0.637,0.607,28.7,1.054
2010 UE51,3.829,0.638,0.608,28.3,1.055
2012 TF79,3.867,0.644,0.614,27.4,1.050
2009 BD,3.870,0.645,0.614,28.1,1.062
2010 VQ98,3.924,0.654,0.623,28.2,1.023
2008 HU4,3.927,0.654,0.623,28.2,1.093
2012 EC,3.957,0.659,0.628,23.4,1.154
2008 EA9,3.962,0.660,0.629,27.7,1.059
1991 VG,3.998,0.666,0.635,28.5,1.027
2008 UA202,4.029,0.672,0.640,29.4,1.033
2013 DA1,4.030,0.672,0.640,27.3,1.168
2013 EC20,4.032,0.672,0.640,29.0,1.112
2013 BS45,4.045,0.674,0.642,25.9,0.998
2012 WR10,4.076,0.679,0.647,28.7,1.085
2006 UB17,4.082,0.680,0.648,26.3,1.140
2001 GP2,4.094,0.682,0.650,26.9,1.038
2011 MD,4.113,0.686,0.653,28.0,1.056
2011 CG2,4.117,0.686,0.653,21.5,1.177
2013 CY,4.117,0.686,0.653,28.3,1.114
2005 LC,4.122,0.687,0.654,26.8,1.134
2010 SZ3,4.128,0.688,0.655,28.3,1.185
2012 MY2,4.129,0.688,0.655,26.4,1.260
2010 AN61,4.130,0.688,0.656,27.0,1.159
2009 OS5,4.131,0.688,0.656,24.2,1.144
2011 UD21,4.139,0.690,0.657,28.5,0.979
2012 FS35,4.146,0.691,0.658,30.2,1.099
2008 TS10,4.147,0.691,0.658,29.0,1.257
2005 QP87,4.149,0.692,0.659,27.7,1.233
2012 KT12,4.150,0.692,0.659,26.3,1.251
2000 SG344,4.156,0.693,0.660,24.7,0.978
2012 HG2,4.177,0.696,0.663,27.0,1.189
2008 EL68,4.179,0.697,0.663,27.7,1.224
2012 XM55,4.186,0.698,0.664,27.9,1.097
2012 FN,4.196,0.699,0.666,29.2,1.221
1998 KY26,4.207,0.701,0.668,25.5,1.232
2013 GN3,4.211,0.702,0.668,23.7,1.227
2003 SM84,4.216,0.703,0.669,22.7,1.125
2001 QJ142,4.225,0.704,0.671,23.7,1.062
2008 AF3,4.234,0.706,0.672,26.1,1.207
2011 BP40,4.235,0.706,0.672,25.4,1.121
2012 BB14,4.237,0.706,0.673,25.0,1.064
2010 DJ,4.239,0.707,0.673,26.5,1.207
2000 AE205,4.240,0.707,0.673,23.0,1.164
2010 WC1,4.244,0.707,0.674,27.7,1.143
2013 EM89,4.258,0.710,0.676,26.0,1.177
2012 AQ,4.264,0.711,0.677,30.7,1.071
2012 UW68,4.271,0.712,0.678,24.8,1.136
2011 CE22,4.273,0.712,0.678,25.4,1.108
2010 CE55,4.275,0.712,0.679,22.3,1.291
2008 UD95,4.275,0.712,0.679,25.6,1.143
2013 GH66,4.275,0.713,0.679,28.0,1.051
2008 XS,4.276,0.713,0.679,27.1,1.277
2009 CV,4.277,0.713,0.679,24.3,1.112
2010 JW34,4.279,0.713,0.679,28.1,0.981
2012 EL8,4.280,0.713,0.679,28.3,1.188
2005 YA37,4.295,0.716,0.682,22.4,1.280
2003 YS70,4.308,0.718,0.684,29.1,1.288
2012 HK31,4.309,0.718,0.684,25.4,1.074
2009 QE34,4.319,0.720,0.686,23.6,1.289
2011 BL45,4.322,0.720,0.686,27.0,1.038
2011 ED12,4.325,0.721,0.686,26.8,1.098
2004 FN8,4.325,0.721,0.687,27.1,1.169
2006 QQ56,4.325,0.721,0.687,25.9,0.985
2012 HH31,4.327,0.721,0.687,23.8,1.198
2007 VU6,4.327,0.721,0.687,26.5,0.976
2005 ER95,4.329,0.721,0.687,25.4,1.223
2005 RK3,4.329,0.721,0.687,23.7,1.247
2008 JL24,4.331,0.722,0.687,29.6,1.038
2008 TX3,4.339,0.723,0.689,24.9,1.179
2005 GN22,4.342,0.724,0.689,26.5,1.289
2012 EP10,4.343,0.724,0.689,29.1,1.050
2011 OK45,4.344,0.724,0.690,27.6,1.292
2004 BV18,4.357,0.726,0.692,25.9,1.335
2001 AV43,4.358,0.726,0.692,24.9,1.277
2008 HQ3,4.361,0.727,0.692,27.5,1.357
2006 JY26,4.364,0.727,0.693,28.4,1.010
2012 LA,4.365,0.728,0.693,27.5,1.040
2011 PN1,4.376,0.729,0.695,27.5,1.215
2008 CM74,4.376,0.729,0.695,28.1,1.089
2009 RT1,4.378,0.730,0.695,23.6,1.156
2011 CY7,4.388,0.731,0.697,25.2,1.287
2006 BZ147,4.393,0.732,0.697,25.4,1.024
2006 DN,4.395,0.732,0.698,24.5,1.380
2004 WH1,4.406,0.734,0.699,24.0,1.197
2006 HW50,4.406,0.734,0.699,24.4,1.235
2010 KV7,4.413,0.736,0.701,26.0,1.216
2013 HP11,4.417,0.736,0.701,25.5,1.183
2006 MV1,4.419,0.736,0.701,26.8,1.316
2006 UQ216,4.419,0.737,0.701,27.3,1.104
2010 PS66,4.423,0.737,0.702,25.1,1.345
2004 EU22,4.425,0.737,0.702,24.0,1.175
2008 KT,4.425,0.737,0.702,28.2,1.011
2011 MQ3,4.427,0.738,0.703,24.8,1.123
2009 DC12,4.427,0.738,0.703,22.9,1.332
2001 US16,4.428,0.738,0.703,20.2,1.356
2011 HP24,4.432,0.739,0.703,25.8,1.187
2010 VO21,4.435,0.739,0.704,28.7,1.327
2011 AM37,4.435,0.739,0.704,29.7,1.105
2011 TP6,4.438,0.740,0.704,25.5,1.320
2011 PT,4.439,0.740,0.705,24.1,1.312
2012 CR46,4.441,0.740,0.705,26.4,1.339
2010 VC72,4.447,0.741,0.706,23.3,1.161
2008 GL2,4.450,0.742,0.706,27.2,1.123
2002 NV16,4.456,0.743,0.707,21.3,1.238
2006 SK61,4.467,0.744,0.709,26.1,1.380
2009 SW171,4.469,0.745,0.709,26.1,1.331
2010 RM80,4.472,0.745,0.710,27.9,1.176
2011 HH,4.475,0.746,0.710,25.3,1.305
2012 XK134,4.478,0.746,0.711,26.4,1.193
2003 EZ16,4.482,0.747,0.711,22.9,1.176
2012 BP123,4.482,0.747,0.711,27.1,1.128
2007 DD,4.482,0.747,0.711,25.8,0.988
2005 EZ169,4.486,0.748,0.712,25.3,1.317
2008 NX,4.491,0.749,0.713,25.1,1.320
2005 OH3,4.496,0.749,0.714,26.0,1.237
2009 FQ32,4.499,0.750,0.714,26.8,1.226
2012 XF55,4.500,0.750,0.714,22.7,1.276
1993 BX3,4.500,0.750,0.714,20.9,1.395
2003 GA,4.505,0.751,0.715,21.1,1.281
2011 CL33,4.505,0.751,0.715,25.9,1.364
2011 PU1,4.508,0.751,0.716,25.0,1.309
2007 YJ1,4.509,0.751,0.716,25.3,1.264
2007 EE26,4.511,0.752,0.716,26.1,1.247
2003 WP25,4.511,0.752,0.716,24.2,0.989
1999 SF10,4.515,0.752,0.717,24.3,1.278
2010 AG3,4.515,0.753,0.717,27.5,1.370
2006 CL9,4.521,0.753,0.718,22.8,1.346
1998 KG3,4.522,0.754,0.718,22.1,1.160
2009 QR,4.522,0.754,0.718,27.4,1.344
2009 DB43,4.530,0.755,0.719,26.5,1.102
1999 CG9,4.531,0.755,0.719,25.2,1.062
2006 BQ7,4.532,0.755,0.719,26.5,1.347
2005 TA,4.536,0.756,0.720,27.2,1.280
1993 KA,4.542,0.757,0.721,26.0,1.256
2011 AU4,4.544,0.757,0.721,25.9,1.069
2006 HZ5,4.548,0.758,0.722,24.5,1.202
2008 BT2,4.555,0.759,0.723,24.3,1.173
2011 FQ29,4.557,0.759,0.723,25.3,1.330
2013 EN89,4.557,0.760,0.723,26.7,1.399
2010 XF64,4.557,0.760,0.723,26.6,1.404
2000 FJ10,4.560,0.760,0.724,20.9,1.319
2012 VJ38,4.560,0.760,0.724,28.5,1.359
2011 GR59,4.561,0.760,0.724,23.7,1.253
2012 HB2,4.566,0.761,0.725,25.8,1.389
2009 PD,4.568,0.761,0.725,24.2,1.266
2005 JT1,4.568,0.761,0.725,25.7,1.418
2010 XD,4.569,0.761,0.725,27.3,1.256
2007 WZ4,4.577,0.763,0.727,24.3,1.362
2006 QV89,4.578,0.763,0.727,25.3,1.192
2013 AG53,4.582,0.764,0.727,24.9,1.240
2003 YN1,4.585,0.764,0.728,24.9,1.336
2011 YU74,4.589,0.765,0.728,22.9,1.280
2011 QE23,4.596,0.766,0.730,25.8,1.441
2011 UX275,4.599,0.766,0.730,25.8,1.035
2010 XT10,4.599,0.767,0.730,26.5,1.389
2012 HC25,4.604,0.767,0.731,25.8,1.209
2001 KM20,4.605,0.767,0.731,23.6,1.184
2012 VB37,4.605,0.767,0.731,25.2,1.452
2010 KE,4.605,0.768,0.731,26.7,1.298
2007 UD6,4.608,0.768,0.731,28.3,1.232
1998 HG49,4.615,0.769,0.732,21.8,1.201
2005 HB4,4.616,0.769,0.733,24.4,1.355
2006 HE2,4.618,0.770,0.733,26.5,1.065
2012 FA14,4.619,0.770,0.733,23.1,1.414
2004 KE1,4.619,0.770,0.733,21.6,1.299
2008 UL3,4.620,0.770,0.733,25.4,1.293
2008 VA15,4.621,0.770,0.733,23.6,1.452
2011 JV10,4.623,0.771,0.734,29.7,1.140
1997 UR,4.626,0.771,0.734,23.2,1.459
2011 GJ3,4.627,0.771,0.734,26.2,1.142
2009 ET,4.627,0.771,0.734,27.3,1.442
2008 MQ1,4.627,0.771,0.734,24.2,1.392
2010 JT39,4.629,0.772,0.735,23.6,1.203
2006 BP147,4.630,0.772,0.735,26.5,1.287
2007 HB15,4.631,0.772,0.735,27.8,1.252
2012 EJ5,4.632,0.772,0.735,27.7,1.472
1998 SF36,4.632,0.772,0.735,19.2,1.324
2011 OR5,4.633,0.772,0.735,25.9,1.396
2004 SU55,4.636,0.773,0.736,24.7,1.376
2008 CX118,4.638,0.773,0.736,24.4,1.145
2009 SC170,4.639,0.773,0.736,28.0,1.417
2011 BQ50,4.640,0.773,0.736,28.0,0.950
2010 VZ11,4.644,0.774,0.737,25.6,1.104
2009 WF54,4.644,0.774,0.737,25.8,1.439
1999 JU3,4.646,0.774,0.737,19.2,1.190
2012 UL171,4.648,0.775,0.738,27.0,1.062
2012 VR76,4.648,0.775,0.738,27.6,1.083
2004 FM32,4.651,0.775,0.738,27.1,1.099
2011 UH10,4.653,0.775,0.739,27.1,1.459
2009 DN4,4.655,0.776,0.739,26.0,1.229
2009 KW2,4.657,0.776,0.739,26.6,1.362
2009 SN103,4.657,0.776,0.739,27.6,1.299
2011 YT62,4.662,0.777,0.740,22.4,1.199
2001 QE71,4.665,0.778,0.741,24.4,1.078
2012 VM6,4.666,0.778,0.741,25.1,1.128
2006 BG99,4.668,0.778,0.741,25.7,1.411
2007 TF15,4.670,0.778,0.741,25.0,1.108
1997 WB21,4.672,0.779,0.742,20.3,1.461
2008 WY94,4.673,0.779,0.742,25.6,1.177
2004 JN1,4.673,0.779,0.742,23.6,1.085
2012 EM8,4.673,0.779,0.742,24.7,1.369
2009 XZ6,4.676,0.779,0.742,26.2,1.222
2009 YS,4.678,0.780,0.742,25.3,1.193
2007 VV6,4.678,0.780,0.743,24.8,1.416
2010 GH7,4.682,0.780,0.743,27.3,1.407
2012 MD7,4.684,0.781,0.743,24.1,0.977
2006 BL55,4.684,0.781,0.743,24.3,1.450
2004 XG29,4.684,0.781,0.744,25.3,1.410
2011 HO24,4.685,0.781,0.744,25.0,1.181
2012 XA,4.686,0.781,0.744,24.8,1.368
2012 FM35,4.687,0.781,0.744,27.3,1.011
2004 OW10,4.687,0.781,0.744,24.5,1.221
2009 WV7,4.688,0.781,0.744,25.9,1.463
2012 CO46,4.688,0.781,0.744,22.7,1.321
2005 ES1,4.691,0.782,0.745,26.8,1.355
2012 GP1,4.695,0.783,0.745,26.2,1.448
2012 FC71,4.696,0.783,0.745,25.2,0.990
2010 UJ,4.696,0.783,0.745,26.2,0.945
2007 HC,4.696,0.783,0.745,25.2,1.155
2010 VC140,4.697,0.783,0.746,27.9,1.482
1994 CJ1,4.698,0.783,0.746,21.4,1.489
2013 GW79,4.703,0.784,0.747,22.9,1.424
2008 ST,4.703,0.784,0.747,27.1,0.964
2011 QS49,4.705,0.784,0.747,24.2,1.499
2007 TT24,4.706,0.784,0.747,27.0,1.440
2012 RR16,4.708,0.785,0.747,24.5,1.380
2006 SU49,4.711,0.785,0.748,19.5,1.413
2009 WG106,4.712,0.785,0.748,25.5,1.415
2012 KA42,4.713,0.785,0.748,27.3,1.303
2010 XO,4.716,0.786,0.749,26.1,1.315
2004 BW18,4.718,0.786,0.749,22.5,1.373
2006 KL103,4.719,0.786,0.749,25.5,1.448
2006 HX30,4.719,0.787,0.749,26.1,1.478
2002 FB,4.723,0.787,0.750,27.6,1.207
2006 HU50,4.723,0.787,0.750,24.7,1.287
2006 SF281,4.726,0.788,0.750,27.1,1.493
2006 KS1,4.727,0.788,0.750,25.4,1.469
2010 RF31,4.728,0.788,0.750,25.2,1.372
2008 CE119,4.731,0.788,0.751,25.7,1.210
2010 RD,4.734,0.789,0.751,25.4,1.414
2012 DK61,4.735,0.789,0.752,21.0,1.243
2009 HC,4.736,0.789,0.752,24.7,1.039
2010 CM19,4.736,0.789,0.752,25.0,1.448
2012 DW60,4.736,0.789,0.752,26.5,1.111
2011 AA23,4.737,0.790,0.752,23.8,1.296
2010 XU,4.737,0.790,0.752,25.3,1.330
2012 DJ54,4.737,0.790,0.752,28.6,1.176
2010 WD9,4.738,0.790,0.752,23.7,1.378
2009 BW2,4.743,0.790,0.753,25.1,1.021
2003 CC,4.743,0.791,0.753,20.4,1.500
2008 EK85,4.745,0.791,0.753,28.4,1.380
2006 DX,4.747,0.791,0.753,24.4,1.142
2007 TE71,4.747,0.791,0.753,24.3,1.244
2008 UR,4.747,0.791,0.753,26.9,1.314
2007 HL4,4.747,0.791,0.753,24.2,1.118
2008 WM61,4.747,0.791,0.754,26.7,1.480
2011 ET74,4.748,0.791,0.754,26.2,1.153
2012 LA11,4.751,0.792,0.754,26.2,0.988
2008 WN2,4.752,0.792,0.754,20.8,1.418
2004 QA22,4.752,0.792,0.754,27.9,0.951
2009 HH21,4.753,0.792,0.754,26.9,1.405
2008 ON10,4.754,0.792,0.755,24.7,1.160
2009 WG7,4.754,0.792,0.755,26.6,1.242
2003 BN4,4.755,0.793,0.755,24.0,1.269
1996 XB27,4.755,0.793,0.755,22.0,1.189
2010 CK19,4.758,0.793,0.755,27.9,0.987
2010 FC,4.759,0.793,0.755,24.0,1.329
2011 CA4,4.760,0.793,0.756,27.1,1.302
2012 HN13,4.760,0.793,0.756,22.8,1.409
1994 EU,4.762,0.794,0.756,25.9,1.377
2012 XB112,4.762,0.794,0.756,29.9,1.025
2010 JK1,4.762,0.794,0.756,24.4,1.029
2008 TE2,4.763,0.794,0.756,27.3,1.492
2000 SJ344,4.764,0.794,0.756,22.6,1.140
2007 FB,4.766,0.794,0.757,26.2,1.315
2000 YJ11,4.767,0.794,0.757,20.7,1.313
2010 UH,4.767,0.794,0.757,27.1,1.362
2012 UY68,4.767,0.795,0.757,25.0,1.175
2007 YF,4.768,0.795,0.757,24.8,0.953
2012 BA35,4.769,0.795,0.757,23.8,1.072
2001 WH49,4.769,0.795,0.757,26.0,1.467
2006 EY,4.769,0.795,0.757,25.1,1.425
2005 WF55,4.769,0.795,0.757,26.3,1.505
2011 AA37,4.770,0.795,0.757,22.8,1.096
2009 HG,4.772,0.795,0.757,24.5,1.367
2009 UB,4.773,0.796,0.758,25.5,1.332
2008 YS27,4.774,0.796,0.758,21.1,1.468
2010 VL65,4.775,0.796,0.758,28.4,1.065
2003 QU5,4.781,0.797,0.759,24.2,1.439
2009 FH,4.782,0.797,0.759,26.6,1.476
2002 DQ3,4.782,0.797,0.759,23.8,1.387
2011 HN24,4.783,0.797,0.759,27.6,1.372
2001 SZ169,4.784,0.797,0.759,25.1,1.335
2008 DG5,4.785,0.798,0.760,19.7,1.256
2004 XK3,4.787,0.798,0.760,24.4,1.228
2011 BG24,4.789,0.798,0.760,26.6,1.404
2009 UD,4.791,0.798,0.760,27.2,1.039
2013 HO11,4.793,0.799,0.761,23.0,1.195
2010 UO,4.795,0.799,0.761,26.3,1.416
2001 WC47,4.799,0.800,0.762,18.9,1.400
2012 PB20,4.800,0.800,0.762,24.9,1.054
2011 UG169,4.800,0.800,0.762,25.8,1.381
2012 BV61,4.802,0.800,0.762,25.2,1.529
2004 KG17,4.802,0.800,0.762,27.1,1.510
2009 YR,4.803,0.800,0.762,28.0,0.942
2006 XY,4.804,0.801,0.762,24.0,1.498
2010 GA34,4.809,0.801,0.763,22.5,1.457
2000 TE2,4.810,0.802,0.763,24.9,1.321
2006 SV5,4.813,0.802,0.764,23.1,1.445
2011 HJ,4.816,0.803,0.765,26.0,1.446
2013 CA88,4.817,0.803,0.765,24.6,1.466
2010 RM122,4.817,0.803,0.765,25.6,1.307
2010 WB,4.817,0.803,0.765,24.1,1.359
2011 BG40,4.820,0.803,0.765,24.6,1.377
2001 VE2,4.822,0.804,0.765,25.0,1.106
2013 BW15,4.822,0.804,0.765,25.6,1.447
2005 AJ3,4.823,0.804,0.766,23.2,1.276
2011 CR1,4.824,0.804,0.766,26.5,1.527
2012 DV43,4.824,0.804,0.766,26.3,1.445
2010 TE55,4.825,0.804,0.766,28.0,0.949
2008 SO,4.827,0.804,0.766,20.7,1.331
2011 YW15,4.829,0.805,0.766,24.7,1.483
2008 VC,4.829,0.805,0.766,26.9,1.121
2009 SH1,4.829,0.805,0.767,29.4,1.188
2009 SC15,4.835,0.806,0.767,21.4,1.266
2010 JR34,4.836,0.806,0.768,27.7,0.959
2011 FT9,4.836,0.806,0.768,26.2,1.522
2013 AL11,4.840,0.807,0.768,23.2,1.459
2009 TD17,4.841,0.807,0.768,27.7,1.127
2011 DW4,4.841,0.807,0.768,27.3,1.559
2005 CD69,4.844,0.807,0.769,24.3,1.088
2010 XG64,4.845,0.807,0.769,27.9,1.549
2001 WJ4,4.848,0.808,0.769,27.4,1.256
2005 AZ28,4.850,0.808,0.770,24.0,1.467
2002 SR,4.852,0.809,0.770,21.6,1.179
1998 VS,4.858,0.810,0.771,22.3,1.400
2008 EV68,4.859,0.810,0.771,23.5,1.460
2011 WU2,4.859,0.810,0.771,24.9,1.182
2012 BF77,4.860,0.810,0.771,25.0,1.502
2008 WK,4.864,0.811,0.772,23.2,1.417
2009 BO5,4.865,0.811,0.772,26.8,1.419
2013 CW87,4.867,0.811,0.773,25.6,1.211
2010 VP139,4.868,0.811,0.773,29.1,1.115
2000 TL1,4.868,0.811,0.773,22.8,1.338
2011 WD,4.869,0.811,0.773,26.1,1.360
2011 EV73,4.871,0.812,0.773,28.4,1.530
2012 KB4,4.874,0.812,0.774,25.3,1.093
2005 ER70,4.874,0.812,0.774,24.7,1.224
2003 BS35,4.874,0.812,0.774,24.8,1.258
2012 LU,4.875,0.812,0.774,25.2,1.529
2008 JP24,4.875,0.813,0.774,26.7,1.249
2000 EA14,4.876,0.813,0.774,21.1,1.117
2011 BF10,4.877,0.813,0.774,27.4,1.351
2011 LZ2,4.877,0.813,0.774,25.3,1.387
2003 YN107,4.879,0.813,0.774,26.5,0.989
2008 FO,4.879,0.813,0.774,23.2,1.241
2009 SQ104,4.879,0.813,0.774,21.1,1.285
2013 ED68,4.881,0.814,0.775,28.0,1.480
2010 EE43,4.882,0.814,0.775,24.3,1.414
2009 BN58,4.886,0.814,0.775,25.8,1.366
2002 TC70,4.886,0.814,0.776,21.0,1.369
2012 TP20,4.888,0.815,0.776,27.8,1.387
1989 ML,4.888,0.815,0.776,19.3,1.272
2008 XB,4.892,0.815,0.777,22.5,1.517
2008 TC3,4.893,0.815,0.777,30.4,1.271
2012 UV136,4.894,0.816,0.777,25.6,1.006
2007 TA23,4.894,0.816,0.777,24.9,1.383
2012 HN1,4.896,0.816,0.777,27.0,1.026
2010 UD8,4.899,0.816,0.778,24.6,1.420
2007 RQ17,4.900,0.817,0.778,22.6,1.582
1996 FO3,4.901,0.817,0.778,20.5,1.443
2012 CS46,4.902,0.817,0.778,27.7,1.285
2012 LF4,4.903,0.817,0.778,24.5,1.270
2011 YA63,4.903,0.817,0.778,24.6,1.438
2010 UE8,4.905,0.817,0.779,25.0,1.453
2006 UA216,4.906,0.818,0.779,23.6,1.455
2011 SQ5,4.906,0.818,0.779,26.5,1.501
2012 FV23,4.908,0.818,0.779,25.4,1.550
2012 EA,4.909,0.818,0.779,26.9,1.594
2010 VA140,4.914,0.819,0.780,25.9,1.535
2011 GB3,4.914,0.819,0.780,24.4,1.361
2010 DL,4.914,0.819,0.780,27.0,1.353
2004 RG164,4.917,0.819,0.780,25.8,1.611
2000 CK59,4.917,0.820,0.780,24.1,1.477
2008 GM2,4.918,0.820,0.781,28.3,1.052
2012 YP3,4.919,0.820,0.781,25.7,1.500
2002 GR,4.919,0.820,0.781,23.2,1.201
2008 TT26,4.923,0.820,0.781,23.6,1.345
2008 TD2,4.923,0.820,0.781,21.7,1.530
2010 RF12,4.924,0.821,0.782,28.1,1.060
2012 TE146,4.924,0.821,0.782,24.8,1.494
2008 FC,4.930,0.822,0.783,24.8,1.516
2001 KW18,4.930,0.822,0.783,26.0,1.243
2004 HL,4.931,0.822,0.783,26.5,1.554
2011 BJ39,4.933,0.822,0.783,27.4,1.512
2006 UN,4.935,0.823,0.783,25.5,1.549
2012 TC4,4.939,0.823,0.784,26.7,1.406
2011 AK5,4.940,0.823,0.784,21.5,1.188
2009 UD2,4.940,0.823,0.784,22.2,1.393
2004 XD51,4.940,0.823,0.784,25.0,1.242
2012 YL7,4.940,0.823,0.784,22.6,1.471
2012 CR45,4.943,0.824,0.785,25.5,1.548
2011 SC16,4.943,0.824,0.785,27.4,1.345
2012 HM,4.945,0.824,0.785,24.1,1.175
2008 WH14,4.945,0.824,0.785,26.3,1.392
2012 UX136,4.946,0.824,0.785,25.6,1.089
2000 WG10,4.948,0.825,0.785,24.4,1.164
2005 XX77,4.949,0.825,0.786,23.9,1.526
2007 DH8,4.949,0.825,0.786,24.9,1.437
2011 SK16,4.950,0.825,0.786,23.5,1.425
2002 RO28,4.952,0.825,0.786,25.4,1.502
2011 ED41,4.955,0.826,0.787,22.4,1.255
2008 ED85,4.955,0.826,0.787,29.9,1.490
2005 UN,4.957,0.826,0.787,25.9,1.409
2007 EG88,4.958,0.826,0.787,26.9,1.613
2008 JM26,4.958,0.826,0.787,25.6,1.368
2013 CE129,4.958,0.826,0.787,22.0,1.344
2010 TH19,4.960,0.827,0.787,20.5,1.464
2013 EU9,4.961,0.827,0.787,21.7,1.360
2005 FG,4.963,0.827,0.788,23.9,1.122
2013 DG,4.964,0.827,0.788,24.2,1.423
2010 DE2,4.965,0.828,0.788,26.8,1.547
2009 YF,4.965,0.828,0.788,24.7,0.936
2011 EC,4.970,0.828,0.789,25.5,1.504
2011 BT15,4.971,0.829,0.789,21.7,1.297
2007 DC,4.971,0.829,0.789,27.5,1.349
2001 QC34,4.972,0.829,0.789,20.0,1.128
2006 UQ17,4.972,0.829,0.789,21.9,1.624
2003 GY,4.973,0.829,0.789,20.1,1.380
2013 CL129,4.974,0.829,0.790,28.4,1.106
2007 CS5,4.975,0.829,0.790,24.6,0.980
2012 SM8,4.976,0.829,0.790,26.3,1.538
2009 HJ36,4.976,0.829,0.790,27.9,1.572
2006 YP,4.979,0.830,0.790,23.7,1.144
1982 DB,4.979,0.830,0.790,18.2,1.489
2010 HF,4.980,0.830,0.790,26.2,1.626
2006 UL,4.981,0.830,0.791,26.1,1.402
2011 AE3,4.982,0.830,0.791,28.0,0.965
2012 KM11,4.984,0.831,0.791,24.5,1.376
2006 WZ184,4.985,0.831,0.791,26.3,1.369
2003 WE,4.986,0.831,0.791,24.6,1.197
2013 FB8,4.987,0.831,0.792,24.9,1.341
2006 YF,4.987,0.831,0.792,20.9,1.109
2006 BA,4.988,0.831,0.792,27.6,1.120
2011 UB64,4.991,0.832,0.792,25.0,1.439
2011 CG71,4.993,0.832,0.793,22.3,1.320
2010 SC,4.995,0.832,0.793,26.0,1.571
2008 GR3,4.995,0.832,0.793,24.9,1.533
2011 DQ,4.995,0.833,0.793,26.2,1.531
2004 PG20,4.997,0.833,0.793,24.5,1.440
2005 EU2,4.997,0.833,0.793,23.1,1.508
2010 AR1,4.998,0.833,0.793,25.8,1.526
2004 CC,4.998,0.833,0.793,23.6,1.427
2004 SR26,4.998,0.833,0.793,26.6,1.398
1997 YM9,5.005,0.834,0.794,24.0,1.095
2010 MC,5.007,0.834,0.795,24.6,1.408
2004 PJ2,5.009,0.835,0.795,21.4,1.418
2003 FF5,5.010,0.835,0.795,23.2,1.369
2009 WK1,5.010,0.835,0.795,27.2,1.601
2005 RA3,5.011,0.835,0.795,22.3,1.462
2011 AN1,5.012,0.835,0.796,27.7,1.246
2011 AM24,5.012,0.835,0.796,20.4,1.178
2012 AO10,5.013,0.836,0.796,24.6,1.330
2005 WX,5.015,0.836,0.796,26.9,1.598
2011 YP10,5.020,0.837,0.797,24.6,1.211
2010 TJ19,5.020,0.837,0.797,26.1,1.522
2010 JW39,5.022,0.837,0.797,24.5,1.637
2008 AG4,5.022,0.837,0.797,24.7,1.139
2008 FS6,5.022,0.837,0.797,22.3,1.294
1999 FN19,5.024,0.837,0.797,22.5,1.647
2009 RG2,5.025,0.838,0.798,25.7,1.559
2010 VT21,5.028,0.838,0.798,27.3,1.066
2011 AN37,5.029,0.838,0.798,26.1,1.153
2013 AP20,5.029,0.838,0.798,27.6,1.626
2009 WC106,5.030,0.838,0.798,25.5,1.084
2009 WR52,5.031,0.839,0.799,28.3,1.034
1999 NA5,5.032,0.839,0.799,20.4,1.436
2012 SX49,5.032,0.839,0.799,26.2,0.949
2006 DQ14,5.033,0.839,0.799,27.1,1.028
2011 SH189,5.033,0.839,0.799,24.1,1.223
2011 GD60,5.034,0.839,0.799,21.7,1.083
2001 VB76,5.034,0.839,0.799,20.4,1.459
2009 BS5,5.038,0.840,0.800,27.4,1.579
2008 EP7,5.039,0.840,0.800,23.6,1.320
2010 VU,5.039,0.840,0.800,24.9,1.476
2010 GP33,5.040,0.840,0.800,25.8,1.525
2003 YT70,5.042,0.840,0.800,25.8,1.594
2006 XQ4,5.043,0.840,0.800,26.1,1.473
2004 MR1,5.044,0.841,0.801,25.6,1.523
2008 BW2,5.045,0.841,0.801,29.7,1.394
2006 SU217,5.046,0.841,0.801,25.3,0.985
1993 BD3,5.050,0.842,0.802,26.2,1.634
2009 FK,5.050,0.842,0.802,28.3,1.524
2008 UT99,5.050,0.842,0.802,24.4,1.539
2010 PR10,5.051,0.842,0.802,21.7,1.198
2011 GV9,5.055,0.842,0.802,26.4,1.525
2011 KX15,5.056,0.843,0.803,26.6,1.477
2002 TS69,5.059,0.843,0.803,24.6,1.176
2005 UG5,5.060,0.843,0.803,24.3,1.056
2007 LT19,5.061,0.843,0.803,25.3,1.470
2009 LQ1,5.061,0.843,0.803,22.0,1.428
2009 WN6,5.062,0.844,0.803,24.7,1.596
2001 FR85,5.064,0.844,0.804,24.8,0.983
2004 RW2,5.065,0.844,0.804,24.4,1.425
2003 XH10,5.067,0.845,0.804,25.5,1.321
2007 CX50,5.067,0.845,0.804,24.7,1.207
2009 DL46,5.069,0.845,0.805,21.6,1.456
2009 SH2,5.070,0.845,0.805,24.9,0.992
2007 YT56,5.073,0.846,0.805,23.4,1.294
2011 UK10,5.076,0.846,0.806,25.1,1.230
2008 CK119,5.077,0.846,0.806,24.5,1.194
2013 AC,5.078,0.846,0.806,25.2,1.682
2012 FU35,5.078,0.846,0.806,23.8,1.449
2000 SL10,5.081,0.847,0.807,21.9,1.372
2012 KC45,5.082,0.847,0.807,29.4,1.178
2006 SS131,5.084,0.847,0.807,25.7,1.623
2013 EN20,5.085,0.848,0.807,29.1,1.547
2012 BO1,5.085,0.848,0.807,24.9,1.334
